# USDA food code | app name | search aliases (semicolon separated)
94000100|Water|plain water;glass of water;tap water
92101000|Coffee|black coffee;brewed coffee;regular coffee
11111000|Whole milk|milk;full fat milk
11112110|2% milk|reduced fat milk;two percent milk
11112210|1% milk|low fat milk;one percent milk
11113000|Skim milk|nonfat milk;fat free milk
91101010|Sugar|white sugar;granulated sugar
83107000|Mayonnaise|mayo;regular mayonnaise
74101000|Tomato|tomatoes;raw tomato
75113000|Iceberg lettuce|lettuce
92410310|Cola|soda;regular soda;cola soda
92410320|Diet cola|diet soda;zero sugar cola
81101000|Butter|stick butter
73101010|Carrots|carrot;raw carrots;carrot sticks
63203010|Blueberries|blueberry
75111000|Cucumber|cucumbers
12120100|Half-and-half|half and half;coffee cream
56205008|White rice|rice;cooked rice;cooked white rice;steamed rice
75117020|Onion|onions;raw onion
14104100|Cheddar cheese|cheddar
64104010|Apple juice|100% apple juice
83106000|Italian dressing|italian salad dressing
61210220|Orange juice|oj;100% orange juice
42202000|Peanut butter|pb
92302000|Black tea|tea;hot tea
53206000|Chocolate chip cookie|chocolate chip cookies
63105010|Avocado|avocados
91300100|Pancake syrup|syrup
31103010|Boiled egg|hard boiled egg;hard-boiled egg;poached egg;egg
71200100|Potato chips|chips;plain chips
75114000|Mixed salad greens|salad greens;spring mix
12310100|Sour cream|regular sour cream
92306000|Herbal tea|hot herbal tea
54401075|Tortilla chips|corn tortilla chips
14107030|Part-skim mozzarella|low moisture mozzarella
13110100|Vanilla ice cream|ice cream
51101010|White toast|toast;toasted white bread
93401010|Red wine|wine
92111010|Decaf coffee|decaffeinated coffee
11350020|Unsweetened almond milk|almond milk
92308000|Sweet iced tea|sweet tea;iced tea
12210400|Powdered coffee creamer|powdered creamer
61100600|Clementine|clementines;mandarin
14108010|Grated parmesan cheese|parmesan;grated parmesan
14301010|Cream cheese|plain cream cheese
51180010|Plain bagel|bagel
63109010|Cantaloupe|cantaloupe melon
92510955|Lemonade|lemon juice drink
81102020|Margarine|tub margarine
57227000|Granola|granola cereal
25221405|Breakfast sausage|pork sausage;sausage patty
56203056|Oatmeal|porridge;plain oatmeal;rolled oats;cooked oats
92102400|Iced coffee|black iced coffee;cold brew
92410210|Sparkling water|seltzer;club soda;carbonated water
57241000|Honey nut oat cereal|honey nut cereal
51101000|White bread|sandwich bread
52215100|Corn tortilla|corn tortillas
92308020|Unsweetened iced tea|unsweet tea;iced black tea
12210200|Coffee creamer|liquid creamer
91745010|Gummy candy|gummies;gummy bears
58407030|Instant ramen|ramen noodles;instant noodle soup
92303010|Green tea|hot green tea
53209015|Chocolate sandwich cookies|cream filled chocolate cookies
54408016|Pretzels|hard pretzels;salted pretzels
93401020|White wine|white table wine
54325000|Saltine crackers|saltines
72116000|Romaine lettuce|romaine
75122000|Bell peppers|bell pepper
31105030|Fried egg|fried eggs;egg fried in oil
72125100|Spinach|raw spinach;baby spinach
24198731|Chicken nuggets|nuggets
51150000|Dinner roll|white roll;bread roll
54301010|Butter crackers|round butter crackers
14410110|American cheese|american cheese slice
51300120|Whole wheat toast|wheat toast;wholemeal toast
91745025|Hard candy|boiled sweets
61204010|Lemon juice|fresh lemon juice
91705010|Milk chocolate|chocolate;chocolate candy
91746300|Fruit snacks|gummy fruit snacks
91705530|Peanut butter chocolate cups|chocolate peanut butter candy
58145112|Boxed macaroni and cheese|boxed mac and cheese
63409010|Guacamole|guac
91705300|Dark chocolate|dark chocolate candy
32130020|Scrambled eggs|scrambled egg;eggs scrambled in butter
11360200|Oat milk|oatmilk
75109000|Celery|celery sticks
63219000|Raspberries|raspberry
53241500|Sugar cookie|sugar cookies;butter cookie
74402150|Red salsa|salsa
55101000|Pancakes|pancake;plain pancakes
92410610|Ginger ale|ginger soda
91401000|Jelly|fruit jelly
57123000|Oat ring cereal|plain oat cereal
42116000|Walnuts|walnut
58146322|Spaghetti with meat sauce|pasta with meat sauce;spaghetti bolognese
61125010|Tangerine|tangerines
58102220|Beef taco without cheese|meat taco without cheese
53204010|Brownie|brownies
58403040|Chicken noodle soup|chicken soup with noodles
11511200|Chocolate milk|2% chocolate milk
22311000|Ham|cooked ham
12140000|Whipped cream|whipping cream
41420300|Soy sauce|shoyu
91402000|Jam|fruit jam
63115010|Cherries|cherry
27510241|Cheeseburger|cheese burger
62125100|Raisins|raisin
42302015|Peanut butter and jelly sandwich|pbj;pb&j;peanut butter jelly sandwich
22701000|Pork ribs|ribs
63101110|Sweetened applesauce|regular applesauce
92410710|Root beer|rootbeer
72201211|Steamed broccoli|cooked broccoli;broccoli
63129010|Mango|mangoes;mangos
75503010|Dill pickle|pickles;pickle
31105040|Egg fried in butter|fried egg with butter
54328100|Peanut butter sandwich crackers|peanut butter crackers
24123301|Grilled chicken breast|chicken breast;grilled chicken;skinless chicken breast
51166000|Croissant|plain croissant
51107010|French bread|baguette
58145110|Macaroni and cheese|mac and cheese;mac n cheese
52215200|Flour tortilla|tortilla;flour tortillas
27540146|Crispy chicken sandwich|fried chicken sandwich
51601010|Multigrain toast|toasted multigrain bread
75125000|Radish|radishes
92101610|Espresso|espresso shot
21500310|Hamburger patty|burger patty;beef patty;no bun burger
55200020|Frozen waffle|toaster waffle
56130000|Pasta|plain pasta;cooked pasta;spaghetti noodles
51300110|Whole wheat bread|wheat bread;wholemeal bread
25230210|Deli ham|sliced ham;ham lunch meat
75103000|Green cabbage|cabbage
58102010|Beef taco|taco;beef and cheese taco;ground beef taco
41205070|Hummus|plain hummus
72201100|Raw broccoli|broccoli florets
26137120|Baked salmon|salmon;roasted salmon
51160110|Cinnamon roll|cinnamon bun
53120270|Vanilla cake with frosting|birthday cake;white cake
63201010|Blackberries|blackberry
14107010|Mozzarella cheese|mozzarella
63101120|Unsweetened applesauce|applesauce
62109100|Dried cranberries|sweetened dried cranberries
51133010|Sourdough bread|sourdough
14204010|Low-fat cottage cheese|cottage cheese
22101020|Lean pork chop|pork chop
51186010|English muffin|english muffins
74404010|Marinara sauce|spaghetti sauce;tomato pasta sauce
13120100|Chocolate-coated vanilla ice cream bar|chocolate coated ice cream
21602100|Beef jerky|jerky
42111200|Roasted peanuts|peanuts;dry roasted peanuts
42114140|Pistachios|pistachio nuts
42501000|Trail mix|nuts and raisins
21401000|Roast beef|beef roast
25221500|Salami|sliced salami
27564060|Hot dog|hotdog;hot dog with bun;frankfurter with bun
56203130|Maple oatmeal|maple instant oatmeal
24198741|Chicken tenders|chicken strips;breaded chicken tenders
56205018|Brown rice|cooked brown rice
56203066|Oatmeal with milk|porridge with milk
52405010|Banana bread|fruit bread
53240000|Animal crackers|animal cookies
64116020|Grape juice|purple grape juice
26155110|Canned tuna|tuna;tuna fish
21102170|Sirloin steak|sirloin
24122131|Roasted chicken breast|baked chicken breast
12130100|Heavy cream|heavy whipping cream
83114000|Thousand island dressing|1000 island dressing
58146222|Spaghetti with marinara|spaghetti;pasta with tomato sauce
53105270|Chocolate cake with frosting|chocolate cake;chocolate birthday cake
25230780|Deli turkey|turkey slices;sliced turkey;turkey lunch meat
63420105|Frozen fruit bar|fruit ice pop
75122200|Red bell pepper|red pepper
58104710|Cheese quesadilla|quesadilla
71403020|Home fries|breakfast potatoes
11411420|Nonfat plain Greek yogurt|greek yogurt;plain greek yogurt
71501010|Mashed potatoes|mashed potato
14201010|Whole-milk cottage cheese|full fat cottage cheese
43104000|Flaxseed|flax seeds;ground flaxseed
42104100|Cashews|cashew nuts
75510020|Black olives|black olive
74402110|Pico de gallo|fresh salsa
58150110|Vegetable fried rice|fried rice;egg fried rice
74402350|Salsa verde|green salsa
52103000|Biscuit|buttermilk biscuit
75141000|Coleslaw|cole slaw
27520210|Ham sandwich|ham sandwich with mayo
27520220|Ham and cheese sandwich|ham cheese sandwich
71508001|Baked potato|jacket potato
57134000|Corn flakes|cornflake cereal
34003120|Sausage breakfast burrito|sausage egg burrito
83101000|Blue cheese dressing|bleu cheese dressing
21500100|Ground beef|cooked ground beef
14640105|Grilled cheese sandwich|grilled cheese
72119190|Kale|raw kale
41205010|Refried beans|refried pinto beans
27540010|Turkey sandwich|turkey sandwich with mayo
27540020|Turkey and cheese sandwich|turkey cheese sandwich
27540030|Turkey sandwich on wheat|wheat turkey sandwich
27540040|Turkey and cheese sandwich on wheat|wheat turkey cheese sandwich
63143010|Plum|plums
41205075|Flavored hummus|roasted red pepper hummus
63127010|Honeydew|honeydew melon
27214100|Meatloaf|beef meatloaf
53233010|Oatmeal raisin cookie|oatmeal raisin cookies
58163405|Spanish rice|mexican rice
83105500|Honey mustard dressing|honey mustard salad dressing
24201120|Roast turkey breast|turkey breast;roasted turkey
27347100|Chicken pot pie|pot pie
27111406|Beef and bean chili|chili;chili con carne
14660200|Mozzarella sticks|fried cheese sticks
32130120|Cheese omelet|cheese omelette;scrambled eggs with cheese
27146350|Orange chicken|chinese orange chicken
63131010|Nectarine|nectarines
26137123|Grilled salmon|salmon grilled
58112510|Steamed dumplings|dumplings;potstickers;gyoza
58148110|Macaroni salad|pasta salad with mayo
58102210|Fish taco|fish tacos
51108100|Naan|naan bread
63133010|Papaya|papayas
42101110|Roasted almonds|salted almonds
75415022|Onion rings|fried onion rings
27550720|Tuna salad sandwich|tuna sandwich
27520510|Pulled pork sandwich|bbq pork sandwich;barbecue pork sandwich
71508005|Baked potato with butter|buttered baked potato
27510631|Hamburger|burger;beef burger
27311410|Beef stew|stew
53301000|Apple pie|slice of apple pie
51601020|Multigrain bread|multi grain bread
92161000|Cappuccino|cappuccino coffee
58150320|Chicken fried rice|fried rice with chicken
58146382|Fettuccine Alfredo|pasta alfredo;pasta with cream sauce
27514030|Philly cheesesteak|cheesesteak;cheese steak sandwich
64134015|Fruit smoothie without dairy|fruit smoothie;vegan fruit smoothie
75652010|Beef soup|beef broth soup
26100270|Fish sticks|fish fingers
62122100|Prunes|dried plums
61101010|Grapefruit|grapefruits
58104740|Chicken quesadilla|chicken and cheese quesadilla
73102211|Steamed carrots|cooked carrots
81302070|Pesto|pesto sauce;basil pesto
61113010|Lemon|lemons
61116010|Lime|limes
22601000|Bacon|pork bacon;bacon strips
31101010|Raw egg|uncooked egg
31108010|Egg white|egg whites
31108110|Cooked egg whites|egg white omelet
32102000|Deviled egg|devilled egg
32101500|Eggs Benedict|egg benedict
32105180|Huevos rancheros|ranchero eggs
41420020|Edamame|soybeans;steamed edamame
41420010|Tofu|soybean curd;bean curd
41305000|Lentils|cooked lentils
41106020|Kidney beans|red kidney beans;cooked kidney beans
41102020|Black beans|cooked black beans
41104020|Pinto beans|cooked pinto beans
41301990|Chickpeas|garbanzo beans
56207160|Couscous|cooked couscous
56207110|Bulgur|cooked bulgur
56200410|Barley|cooked barley
56204005|Quinoa|cooked quinoa
75128010|Zucchini|courgette;raw zucchini
75128000|Yellow squash|summer squash
75233011|Steamed summer squash|cooked zucchini;cooked summer squash
75233220|Spaghetti squash|cooked spaghetti squash
73303010|Winter squash|cooked winter squash
75100750|Artichoke|artichokes
75102500|Beets|beetroot;raw beets
75208011|Cooked beets|steamed beets
75102750|Raw Brussels sprouts|brussels sprouts raw
75209011|Steamed Brussels sprouts|brussels sprouts
75111200|Raw eggplant|aubergine;eggplant raw
75217020|Cooked eggplant|sauteed eggplant;eggplant
75111500|Garlic|garlic clove
75220011|Cooked okra|okra
75234021|Cooked turnip|turnips
72107211|Collard greens|cooked collards
72119211|Steamed kale|cooked kale
72125211|Steamed spinach|cooked spinach
75224021|Green peas|cooked peas;peas
75412060|Eggplant parmesan|eggplant parmigiana
75502520|Kimchi|kimchee
41601070|Miso soup|tofu miso soup
41602050|Split pea soup|pea soup
75608100|French onion soup|onion soup
75651000|Minestrone soup|minestrone
28310330|Beef pho|pho;vietnamese noodle soup
28310335|Meatless pho|vegetarian pho
58407042|Chicken ramen bowl|chicken ramen
58407056|Meat and egg ramen bowl|ramen bowl;ramen with meat and egg
58407052|Vegetarian ramen bowl|vegetable ramen
58151180|California roll|california sushi roll;sushi
58151170|Avocado roll|avocado sushi roll
58151200|Salmon roll|salmon sushi roll
58151220|Tuna roll|tuna sushi roll
58151210|Shrimp roll|shrimp sushi roll
58151230|Vegetable sushi roll|vegetarian sushi;veggie sushi roll
58151190|Eel roll|unagi roll
58151420|Salmon nigiri|salmon sushi
58151440|Tuna nigiri|tuna sushi
58151430|Shrimp nigiri|shrimp sushi
58151450|Egg nigiri|tamago sushi
58137230|Chicken pad Thai|pad thai
58137240|Seafood pad Thai|shrimp pad thai
58137220|Vegetarian pad Thai|meatless pad thai
58136160|Chicken lo mein|lo mein
58136120|Vegetable lo mein|vegetarian lo mein
58136130|Shrimp lo mein|seafood lo mein
58136150|Beef lo mein|lo mein with beef
